name,movie_url,rate,rating_people,director,writer,actor,genre,place,language,year,movietime,comment,review
怪兽婆婆,https://movie.douban.com/subject/1309182/,6.3,4666,罗伯特·路克蒂克,阿妮娅·考卓夫,詹妮弗·洛佩兹/简·方达/迈克尔·瓦尔坦/婉妲·塞克丝/亚当·斯科特,喜剧/爱情/家庭,德国/美国,英语,2005,101分钟,(全部513条),(全部10条)
梦精记2,https://movie.douban.com/subject/1418859/,5.5,4568,丁楚信,,李智勋/全慧彬/金智英/宋恩彩,喜剧,韩国,韩语,2005,101分钟,(全部505条),(全部7条)
匪帮说唱传奇,https://movie.douban.com/subject/2133403/,7.8,4893,小乔治·提尔曼,里基·洛克·拜斯伍德,贾马尔·伍拉德/MohamedDione/德里克·卢克/丹尼斯·L·A·怀特/马克·约翰·杰弗瑞/ChristopherJordanWallace/安吉拉·贝塞特/大卫·科斯塔贝尔/JuliaPaceMitchell/JermaineDenny/娜图里·劳顿/安洁纽·艾莉丝/安东尼·麦凯,剧情/音乐/传记,美国,英语,2009,122分钟,(全部763条),(全部25条)
继父,https://movie.douban.com/subject/2252771/,5.8,5033,尼尔森·麦科米克,J·S·卡多内,迪伦·沃尔什/雪拉·渥德/佩恩·拜德格雷/艾梅柏·希尔德/雪莉·斯蒂琳费尔德/佩姬-图柯/乔恩·坦尼/南茜·林韩·查尔斯/MarcuisHarris/布里登·勒马斯特斯/迪尔德丽·罗夫乔/斯凯勒·塞缪尔斯/BlueDeckert/詹森·威尔斯/杰萨琳·吉尔西格,悬疑/惊悚,美国,英语/德语,2009,101分钟,(全部1225条),(全部23条)
姐妹联谊会惊魂,https://movie.douban.com/subject/3072894/,5.5,5218,斯特瓦特·亨德尔,乔什·斯托博格,杰米·钟/拉莫·威利斯/凯丽·费雪/布莱恩娜·伊维根/TeriAndrzejewski/玛尔戈·哈什曼/丽亚·派普斯,惊悚/恐怖,美国,英语,2009,,(全部1042条),(全部11条)
国王班底,https://movie.douban.com/subject/1482030/,7.1,4828,斯蒂文·泽里安,斯蒂文·泽里安,西恩·潘/裘德·洛/安东尼·霍普金斯/凯特·温丝莱特/马克·鲁弗洛/派翠西娅·克拉克森/詹姆斯·甘多菲尼/杰基·厄尔·哈利/凯西·贝克,剧情/惊悚,德国/美国,英语,2006,128分钟,(全部1014条),(全部61条)
辣身舞2：情迷哈瓦那,https://movie.douban.com/subject/1309161/,8.1,5123,盖·费尔兰德,Boaz Yakin,迭戈·卢纳/萝玛拉·嘉瑞/雪拉·渥德/约翰·斯拉特里/米卡·波瑞姆/玛雅/帕特里克·斯威兹,剧情/爱情,美国,英语/西班牙语,2004,86分钟,(全部1481条),(全部29条)
芭比之长发公主,https://movie.douban.com/subject/1420048/,7.8,3935,Owen Hurley,克利夫 鲁比 (Cliff Ruby),,动画/家庭,美国,英语,2002,84分钟,(全部416条),(全部2条)
棒球英豪,https://movie.douban.com/subject/1463787/,6.8,4848,犬童一心,山室有紀子,长泽雅美/齐藤祥太/齐藤庆太/RIKIYA/平塚真介/上原風馬/安藤希/福士诚治/风吹淳/若槻千夏/德井优/小日向文世/宅麻伸,剧情/爱情/运动,日本,日语,2005,Japan:116分钟,(全部1050条),(全部47条)
神探南茜,https://movie.douban.com/subject/1946607/,6.6,4923,安德鲁·弗莱明,安德鲁·弗莱明,艾玛·罗伯茨/JoanneBaron/瑞切尔·蕾·库克/麦克斯·泰瑞奥/乔什·佛雷特,喜剧/悬疑/惊悚/家庭/犯罪/冒险,美国,英语,2007,99分钟,(全部715条),(全部19条)
神秘博士：火星之水,https://movie.douban.com/subject/4144683/,9.0,4816,格雷姆·哈珀,拉塞尔·T·戴维斯,大卫·田纳特/琳赛·邓肯/皮特·奥布莱恩/嘉玛·陈/AleksanderMikic/莎伦·邓肯-布鲁斯特/ChookSibtain,科幻,英国,英语,2009,62分钟,(全部894条),(全部7条)
芭比之十二个跳舞的公主,https://movie.douban.com/subject/1898129/,8.0,4184,Greg Richardson,Elana Lesser,AshleighBall/KathleenBarr/MaddyCapozzi,动画,美国,英语,2006,83分钟,(全部556条),(全部9条)
