name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
特种部队：眼镜蛇的崛起 G.I. Joe: The Rise of Cobra,https://movie.douban.com/subject/2223596/,7.2,137000000,斯蒂芬·索莫斯,斯图尔特·贝亚蒂耶,查宁·塔图姆/西耶娜·米勒/约瑟夫·高登-莱维特/马龙·韦恩斯/丹尼斯·奎德/李秉宪/克里斯托弗·埃克莱斯顿/布兰登·费舍/阿诺德·沃斯洛/瑞秋·尼科尔斯,动作/科幻/惊悚/冒险,美国/捷克,英语/日语/法语/苏格兰盖尔语,2009-08-07(美国/中国大陆),118分钟
博物馆奇妙夜2 Night at the Museum: Battle of the Smithsonian,https://movie.douban.com/subject/2257732/,6.9,121000000,肖恩·利维,罗伯特·本·加兰特,本·斯蒂勒/艾米·亚当斯/欧文·威尔逊/汉克·阿扎利亚/罗宾·威廉姆斯/克里斯托弗·格斯特/阿兰·夏巴/史蒂夫·库根/瑞奇·热维斯/比尔·哈德尔/乔·博恩瑟/派崔克·盖勒/杰克·切里/拉米·马雷克/米苏·贝克,喜剧/动作/奇幻/冒险,美国/加拿大,英语/阿拉伯语/法语,2009-05-26(中国大陆),105分钟
游龙戏凤 遊龍戲鳳,https://movie.douban.com/subject/3262939/,6.0,112999999,刘伟强,阮世生,刘德华/舒淇/何韵诗/张涵予/林嘉华/林子祥/姜大卫/张歆艺/张达明,爱情,香港,粤语/汉语普通话/英语,2009-01-26,117分钟
终结者2018 Terminator Salvation,https://movie.douban.com/subject/1410556/,6.7,112000000,约瑟夫·麦克金提·尼彻,约翰·布兰卡托,克里斯蒂安·贝尔/萨姆·沃辛顿/穆恩·布拉得古德/海伦娜·伯翰·卡特/安东·叶利钦/布莱丝·达拉斯·霍华德,动作/科幻/惊悚/冒险,美国/德国/英国/意大利,英语/意大利语,2009-06-09(中国大陆),115分钟
疯狂的赛车,https://movie.douban.com/subject/2124703/,8.0,110000000,宁浩,崔斯韦,黄渤/戎祥/九孔/徐峥/王双宝/巴多/董立范/高捷/马少骅/王迅/刘刚/WorapojThuantanon/赵奔/李麒麟/姜志刚/王鹭/宁浩,喜剧/动作/冒险,中国大陆,汉语普通话/青岛话/闽南语/陕西话/武汉话/四川话,2009-01-20(中国大陆),104分钟
大内密探灵灵狗 大內密探靈靈狗,https://movie.douban.com/subject/3670447/,5.0,103000000,王晶,王晶,古天乐/徐熙媛/佟大为/吴君如/宋佳/刘洋/樊少皇/林子聪/刘仪伟/罗家英,喜剧,香港/中国大陆/台湾,粤语/汉语普通话,2009-07-30(中国大陆),98分钟
非常完美,https://movie.douban.com/subject/3240208/,5.9,100000000,金依萌,金依萌,章子怡/范冰冰/何润东/苏志燮/姚晨/林心如/王姬,喜剧/爱情,中国大陆/韩国,汉语普通话,2009-08-14,107分钟
喜羊羊与灰太狼之牛气冲天,https://movie.douban.com/subject/3356338/,6.4,100000000,赵崇邦,黄伟健,阿牛/林峯/徐子珊,喜剧/动画/儿童,中国大陆,汉语普通话,2009-01-16(中国大陆),90分钟
飞屋环游记 Up,https://movie.douban.com/subject/2129039/,8.9,95300000,彼特·道格特,保伯·彼得森,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/戴尔里·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特,剧情/喜剧/动画/冒险,美国,英语,2009-08-04(中国大陆),96分钟
花木兰,https://movie.douban.com/subject/3264045/,6.2,90000000,马楚成,张挺,赵薇/陈坤/胡军/房祖名/李玖哲/维塔斯/刘雨欣/于荣光/徐娇/孙周/王兴磊/徐敏/宋光成/王璐/康福震/李国丰/郭家铭/刘长生/李述/袁靖/赵福顺/耿毅/包雪松/张东/吴国强/侯桐江/赵云/李保成/储文明/刘新义/王冰/僧格仁钦/夏玉庆/马玉山/王艺/蒋喜多/毛云/杨阳/张芒/白璐,剧情/爱情/冒险,中国大陆/香港,汉语普通话,2009-11-27(中国大陆),114分钟
窃听风云 竊聽風雲,https://movie.douban.com/subject/3412882/,7.5,89100000,麦兆辉,庄文强,刘青云/古天乐/吴彦祖/张静初/方中信/王敏德/李子雄/陈伟霆,剧情/动作/惊悚,香港/中国大陆/新加坡,粤语/汉语普通话,2009-07-24(中国大陆),100分钟(香港)
金刚狼 X-Men Origins: Wolverine,https://movie.douban.com/subject/1792928/,7.4,80470000,加文·胡德,戴维·贝尼奥夫,休·杰克曼/列维·施瑞博尔/瑞恩·雷诺兹/丹尼·赫斯顿/泰勒·克奇/琳恩·柯林斯/威廉姆·亚当斯/丹尼尔·海尼,动作/科幻,美国,英语,2009-05-03(中国大陆),107分钟
