name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
不再让你孤单,7.0,96289,刘伟强,2011,124.0,香港,汉语普通话,剧情,爱情,刘烨,舒淇
帝一之国,8.1,22930,永井聪,2017,118.0,日本,日语,剧情,喜剧,菅田将晖,野村周平
关灯后,6.6,32806,大卫·F·桑德伯格,2016,81.0,美国,英语,恐怖,恐怖,泰莉莎·帕尔墨,加布里埃尔·贝特曼
相助,8.8,66775,泰特·泰勒,2011,146.0,美国,英语,剧情,剧情,艾玛·斯通,维奥拉·戴维斯
巴比龙,7.9,7246,迈克尔·诺尔,2017,133.0,捷克,英语,剧情,悬疑,查理·汉纳姆,拉米·马雷克
永无止境,7.4,99325,尼尔·博格,2011,105.0,美国,英语,科幻,悬疑,布莱德利·库珀,艾比·考尼什
憨豆特工2,7.1,60640,奥利弗·帕克,2011,100.0,美国,英语,喜剧,喜剧,罗温·艾金森,吉莲·安德森
消失的凶手,4.8,25445,罗志良,2015,120.0,中国大陆,粤语,动作,悬疑,刘青云,林家栋
300勇士：帝国崛起,6.1,30160,诺姆·穆罗,2014,102.0,美国,英语,剧情,动作,沙利文·斯特普尔顿,罗德里戈·桑托罗
玩命追踪,6.1,20731,艾略特·莱斯特,2011,97.0,英国,英语,动作,惊悚,杰森·斯坦森,帕迪·康斯戴恩
恋爱中的城市,5.6,30920,文牧野/董润年/韩轶/傅天余/冀佳彤,2015,117.0,中国大陆,汉语普通话,爱情,爱情,杨幂,郑开元
夜孔雀,4.7,26294,戴思杰,2015,84.0,中国大陆,汉语普通话,剧情,爱情,刘亦菲,刘烨
人生密密缝,8.4,34733,荻上直子,2017,127.0,日本,日语,剧情,同性,生田斗真,桐谷健太
安娜·卡列尼娜,7.1,54658,乔·赖特,2012,130.0,英国,英语,剧情,爱情,凯拉·奈特莉,裘德·洛
马柔本宅秘事,7.3,8037,塞尔希奥·G·桑切斯,2017,110.0,西班牙,英语,剧情,惊悚,乔治·麦凯,安雅·泰勒-乔伊
命运规划局,6.9,66558,乔治·诺非,2011,106.0,美国,英语,爱情,科幻,马特·达蒙,艾米莉·布朗特
老千2：神之手,7.1,25886,姜炯哲,2014,147.0,韩国,韩语,剧情,犯罪,崔胜铉,申世京
侠探杰克,6.2,54156,克里斯托弗·麦奎里,2012,130.0,美国,英语,动作,惊悚,汤姆·克鲁斯,裴淳华
走到尽头,7.9,45534,金成勋,2014,111.0,韩国,韩语,动作,惊悚,李善均,赵震雄
地心营救,7.4,17620,派翠西亚·里根,2015,127.0,美国,英语,剧情,传记,安东尼奥·班德拉斯,朱丽叶·比诺什
超能失控,6.9,37202,乔什·特兰克,2012,84.0,英国,英语,剧情,动作,戴恩·德哈恩,亚历克斯·罗素
孙子从美国来,8.4,37899,曲江涛,2012,89.0,中国大陆,陕西话,剧情,家庭,罗京民,丁佳明
锅匠，裁缝，士兵，间谍,7.9,82703,托马斯·阿尔弗莱德森,2011,127.0,英国,英语,剧情,惊悚,加里·奥德曼,科林·费尔斯
怪物之子,7.7,35980,细田守,2015,119.0,日本,日语,动作,动画,役所广司,宫崎葵
摩纳哥王妃,6.7,62605,奥利维埃·达昂,2014,103.0,法国,英语,剧情,爱情,妮可·基德曼,帕斯·贝加
第七子：降魔之战,5.0,25951,谢尔盖·波德罗夫,2014,103.0,英国,英语,奇幻,冒险,杰夫·布里吉斯,本·巴恩斯
邻家大贱谍,6.1,20776,格雷格·莫托拉,2016,105.0,美国,英语,剧情,喜剧,盖尔·加朵,艾拉·菲舍尔
杀人者的记忆法,7.5,22000,元新渊,2017,118.0,韩国,韩语,剧情,悬疑,薛耿求,金南佶
圣杯神器：骸骨之城,5.4,20368,哈罗德·兹瓦特,2013,130.0,美国,英语,动作,奇幻,莉莉·柯林斯,杰米·坎贝尔·鲍尔
绝美之城,8.2,29122,保罗·索伦蒂诺,2013,141.0,意大利,意大利语,剧情,剧情,托尼·塞尔维洛,卡洛·维尔多内
生化危机：诅咒,7.6,27269,神谷诚,2012,100.0,日本,日语,动作,科幻,马修·默瑟,戴夫·维滕博格
我是你妈,4.9,10176,张骁,2018,104.0,中国大陆,汉语普通话,剧情,喜剧,闫妮,邹元清
