name,url,rate,box,director,writer,actor,genre,place,language,releasedate,movietime
铁甲钢拳,https://movie.douban.com/subject/1972729/,8.2,143200000,肖恩·利维,丹·吉尔罗伊,休·杰克曼/达科塔·高尤/凯文·杜兰/安东尼·麦凯/伊万杰琳·莉莉/霍普·戴维斯/詹姆斯·瑞布霍恩/奥嘉·方达,剧情/动作/科幻/运动,美国/印度,英语,2011-11-08,127
丁丁历险记,https://movie.douban.com/subject/2028669/,7.6,132250000,史蒂文·斯皮尔伯格,史蒂文·莫法特,杰米·贝尔/安迪·瑟金斯/丹尼尔·克雷格/西蒙·佩吉/尼克·弗罗斯特/加利·艾尔维斯/托比·琼斯,动作/动画/悬疑/冒险,美国/新西兰,英语,2011-11-15,107
失恋33天,https://movie.douban.com/subject/4873490/,7.2,351650000,滕华涛,鲍鲸鲸,白百何/文章/张嘉译/王耀庆/张子萱/郭京飞/曹翠芬/魏宗万/海清/廖凡/徐梵溪/李念/焦俊艳/艾如/叶一云/赵毅/姚笛/李晨/马伊琍/陈羽凡/张歆艺/张默/刘天佐/李晓峰,剧情/爱情,中国大陆,汉语普通话,2011-11-08,110
夏日恋神马,https://movie.douban.com/subject/6518721/,3.9,1150000,钱国伟,贺鑫,方力申/江若琳/敖犬/张馨予,剧情/喜剧/爱情,香港,粤语/汉语普通话,2011-11-04,100
转山,https://movie.douban.com/subject/5318669/,7.9,4900000,杜家毅,张家鲁,张书豪/李晓川/李桃/钮承泽,剧情/冒险,中国大陆/台湾,汉语普通话/藏语,2011-11-03,90
黑暗终结者,https://movie.douban.com/subject/3152593/,3.6,2950000,康斯坦尼·马科斯莫夫,瓦西里·戈洛瓦乔夫,弗拉季米尔·弗多维琴科夫/伊戈尔·别特连科/露波芙·托卡丽娜/亚历山大·巴鲁耶夫,动作/科幻/惊悚/奇幻/冒险,俄罗斯,俄语,2011-11-03,90
梦游,https://movie.douban.com/subject/6804364/,5.0,10250000,彭顺,彭顺,李心洁/霍思燕/李宗翰/杨采妮/马浴柯/黄德斌/鲍起静/段伟伦/郑则仕,悬疑/惊悚,香港/中国大陆,粤语/汉语普通话,2011-10-27,105
黄沙武士,https://movie.douban.com/subject/2132924/,5.3,4100000,李升茂,李升茂 ,张东健/凯特·波茨沃斯/杰弗里·拉什/丹尼·赫斯顿/托尼·考克斯/狄龙,动作/西部/奇幻,新西兰/韩国,英语,2011-11-03,100
密室之不可靠岸,https://movie.douban.com/subject/5954505/,5.2,15600000,张番番,小雨,苏有朋/杨坤/倪虹洁/周韦彤/吴辰君/毛俊杰/孙一理,剧情/悬疑/惊悚/犯罪,中国大陆,汉语普通话,2011-10-27,98
不明身份,https://movie.douban.com/subject/3614963/,7.0,7700000,佐米·希尔拉,Oliver Butcher,连姆·尼森/黛安·克鲁格/詹纽瑞·琼斯/弗兰克·兰格拉/艾丹·奎因/塞巴斯蒂安·科赫/佩特拉·施密特-夏勒/卡尔·马克维斯/布鲁诺·甘茨,剧情/悬疑/惊悚,美国/英国/德国/法国,英语,2011-11-01,113
星空,https://movie.douban.com/subject/5993185/,7.1,16330000,林书宇,几米,徐娇/林晖闵/刘若英/庾澄庆/桂纶镁/蔡淑臻,剧情/爱情/奇幻,中国大陆/台湾,汉语普通话,2011-11-03,98
名侦探柯南：沉默的十五分钟,https://movie.douban.com/subject/6007281/,6.6,30600000,静野孔文,古内一成,高山南/山崎和佳奈/小山力也/茶风林/绪方贤一/岩居由希子/高木渉/林原惠美/山口胜平/大谷育江,动画/悬疑,日本,日语,2011-11-04,109
猩球崛起,https://movie.douban.com/subject/3274505/,8.0,203350000,鲁伯特·瓦耶特,里克·杰法,詹姆斯·弗兰科/安迪·瑟金斯/汤姆·费尔顿/芙蕾达·平托/布莱恩·考克斯/泰勒·莱伯恩/约翰·利思戈/卡琳·考诺娃/泰瑞·诺塔里/理查德·赖丁斯/克里斯托弗·戈登/德文·达尔顿/杰·卡普托/大卫·奥伊罗/杰米·哈里斯,剧情/动作/科幻,美国,英语/美国手语,2011-10-28,105
爱封了,https://movie.douban.com/subject/6313287/,5.3,3860000,唐丹,沃尔夫冈·科尔哈泽,江一燕/弗洛里安·卢卡斯/邓家佳/何冰/吴大维/缇诺·麦威斯,喜剧/爱情,中国大陆/德国,德语/英语/汉语普通话/波兰语/土耳其语,2011-10-13,92
恋爱恐慌症,https://movie.douban.com/subject/5446226/,5.4,4100000,龙毅,,林依晨/陈柏霖/李易峰/陆明君/苑新雨/杨子姗/陶传正/纪亚文,喜剧/爱情,中国大陆/台湾,汉语普通话,2011-10-14,91
嘿店,https://movie.douban.com/subject/6855849/,3.3,3350000,姬棹馨,姬棹馨 Zhuo-xin Ji,朱茵/张达明/李菲儿/廖健/周觅/于婷婷,喜剧/惊悚,中国大陆,汉语普通话,2011-10-21,90
与时尚同居,https://movie.douban.com/subject/6101834/,5.6,6800000,尹丽川,尹丽川 ,周渝民/徐若瑄/乔任梁/谭咏麟/春晓/余男/肖央/王太利/林雪/张小北,喜剧/爱情,中国大陆,汉语普通话,2011-10-21,90
