name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
救世主2：出租车司机,7.2,1459,黄承宰,2009,100,韩国,韩语,喜剧,喜剧,崔成国,李英恩
澎堤池,6.3,1577,布鲁斯·麦克唐纳德,2008,93,加拿大,英语,悬疑,恐怖,史蒂芬·麦克哈蒂,LisaHoule
第四课时推理领域,5.6,1510,李相龙,2009,86,韩国,韩语,惊悚,惊悚,俞承豪,姜素拉
青春期的法国男孩,6.0,1431,利雅得·萨杜夫,2009,90,法国,法语,喜剧,喜剧,ValeriaGolino,IrèneJacob
生命的重托,8.2,1495,乔科摩·巴蒂亚托,2003,130,英国,英语,剧情,惊悚,托马斯·布罗迪-桑斯特,乔凡娜·梅索兹殴诺
血腥拼图,6.7,1542,克林特·伊斯特伍德,2002,110,美国,英语,剧情,动作,克林特·伊斯特伍德,杰夫·丹尼尔斯
浩劫妙冤家,6.3,1431,盖·里奇,2002,89,英国,英语,喜剧,爱情,布鲁斯·格林伍德,麦当娜
日瓦戈医生,8.0,1367,Giacomo Campiotti,2002,226,美国,英语,剧情,爱情,HansMatheson,亚历山德拉·玛丽亚·拉娜
死亡挑战行动,6.1,1431,吉莉安·阿姆斯特朗,2007,96,英国,英语,剧情,爱情,盖·皮尔斯,凯瑟琳·泽塔-琼斯
刀锋爱痕,6.4,1573,Simon Pearce,2009,94,英国,英语,剧情,同性,WayneVirgo,MarcLaurent
巨星总动员,6.4,1420,乔·丹特,2003,91,美国,英语,喜剧,动画,布兰登·费舍,史蒂夫·马丁
征服怒海,6.8,1505,林诣彬,2006,108,美国,英语,剧情,爱情,詹姆斯·弗兰科,吉姆·帕拉克
田园风光,7.6,1402,乔治·巴勒菲,2002,78,匈牙利,匈牙利语,剧情,悬疑,EszterÓnodi,AttilaKaszás
江北好人,5.8,1394,刘新,2007,79,中国大陆,汉语普通话,剧情,剧情,夏雨,马伊琍
星际宝贝：终极任务,8.1,1392,托尼·克莱格,2006,73,美国,英语,喜剧,科幻,黛维·切斯,克里斯·桑德斯
基督诞生记,7.5,1287,凯瑟琳·哈德威克,2006,101,美国,英语,剧情,家庭,凯莎·卡斯特-休伊斯,西娅姆·阿巴斯
转校生：再见亲爱的,7.2,1455,大林宣彦,2007,120,日本,日语,剧情,剧情,蓮佛美沙子,森田直幸
剧场版,6.9,1501,渡部高志,2007,96,日本,日语,动画,动画,钉宫理惠,日野聪
青空,7.5,1501,出崎统,2005,91,日本,日语,剧情,爱情,川上伦子,久川绫
害虫横行,5.1,1560,Kyle Rankin,2009,91,美国,英语,喜剧,动作,ChrisMarquette...Cooper,BrookeNevin...Sara
情迷步话机,7.3,1420,金正权,2000,110,韩国,韩语,爱情,科幻,金荷娜,刘智太
爱情和香烟,6.6,1292,约翰·特托罗,2005,105,美国,英语,喜剧,爱情,詹姆斯·甘多菲尼,苏珊·萨兰登
天使之眼,6.4,1685,Luis Mandoki,2001,102,美国,英语,剧情,爱情,詹妮弗·洛佩兹,吉姆·卡维泽
借你的手儿牵,7.3,1395,艾里克·拉缇戈,2006,90,法国,法语,喜剧,爱情,阿兰·夏巴,夏洛特·甘斯布
沉静的美国人,6.9,1768,菲利普·诺伊斯,2002,101,英国,英语,剧情,爱情,迈克尔·凯恩,布兰登·费舍
